ID,F1_of_all,F2_of_all,F3_of_all,F4_of_all,F5_of_all,F6_of_all,F1_of_first_five,F2_of_first_five,F3_of_first_five,F4_of_first_five,F5_of_first_five,F6_of_first_five,F1_of_the_rest,F2_of_the_rest,F3_of_the_rest,F4_of_the_rest,F5_of_the_rest,F6_of_the_rest,Mw,charge_of_all,charge_of_first_five,charge_of_the_rest,positive_charge,negative_charge,polar_number,unpolar_number,unpolar_ratio,ph_number,length,hydrophobicity,jinpu_ug_ml,jinpu_uM,dachang_ug_ml,dachang_uM
57,-0.584,-0.242,-1.164,0.114,0.858,-0.59,-0.671,-0.42,-0.936,0.115,0.822,-0.818,-0.353,-0.113,-0.845,0.064,0.505,-0.358,1660.5,5,1,2,5,0,5,8,0.615,0,13,-0.349,10.0,10.0,46.432,77.1
58,-0.611,-0.096,-1.123,0.081,0.678,-0.242,-0.729,-0.188,-1.128,0.125,0.584,-0.462,-0.492,-0.003,-1.117,0.038,0.772,-0.023,1275.0,5,1,4,5,0,6,4,0.4,0,10,-0.48,10.0,10.0,78.745,100.4
59,-0.685,-0.012,-1.083,0.13,0.527,-0.471,-0.909,0.163,-0.948,0.308,0.097,-1.045,-0.273,-0.002,-0.621,0.021,0.429,-0.013,1702.6,6,1,4,6,0,8,6,0.429,0,14,-0.42,10.0,10.0,22.084,37.6
60,-0.511,-0.121,-0.781,-0.082,0.624,-0.206,-0.507,-0.194,-0.713,-0.073,0.703,-0.41,-1.096,-0.087,-1.375,-0.348,1.411,0.085,928.4,3,1,3,3,0,3,4,0.571,1,7,-0.191,200.0,185.68,10.0,10.0
61,-0.536,-0.178,-0.839,-0.058,0.674,-0.365,-0.507,-0.194,-0.713,-0.073,0.703,-0.41,-1.181,-0.286,-1.579,-0.265,1.584,-0.47,913.4,2,1,2,2,0,2,5,0.714,1,7,0.041,25.0,22.835,100.0,91.34
62,-0.534,-0.148,-0.853,-0.064,0.643,-0.281,-0.507,-0.194,-0.713,-0.073,0.703,-0.41,-0.787,-0.191,-1.053,-0.177,1.056,-0.313,1041.6,3,1,2,3,0,3,5,0.625,1,8,-0.101,25.0,26.04,100.0,104.16
63,-0.534,-0.148,-0.853,-0.064,0.643,-0.281,-0.472,-0.115,-0.632,-0.106,0.634,-0.188,-0.787,-0.191,-1.053,-0.177,1.056,-0.313,1041.6,3,2,2,3,0,3,5,0.625,1,8,-0.101,25.0,26.04,100.0,104.16
64,-0.552,-0.169,-0.909,-0.05,0.658,-0.34,-0.472,-0.115,-0.632,-0.106,0.634,-0.188,-0.633,-0.243,-0.892,-0.091,0.879,-0.512,1154.8,3,2,1,3,0,3,6,0.667,1,9,-0.031,3.1,3.58,12.5,14.435
65,-0.547,-0.127,-0.916,-0.06,0.616,-0.223,-0.591,-0.097,-1.112,-0.038,0.566,-0.142,-0.521,-0.147,-0.995,-0.004,0.529,-0.303,1411.2,5,3,2,5,0,5,6,0.545,1,11,-0.225,6.3,8.891,12.5,17.64
66,-0.562,-0.163,-0.953,-0.045,0.647,-0.324,-0.591,-0.097,-1.112,-0.038,0.566,-0.142,-0.55,-0.214,-1.063,0.023,0.587,-0.488,1396.2,4,3,1,4,0,4,7,0.636,1,11,-0.077,1.6,2.234,6.3,8.796
67,-0.578,-0.199,-0.99,-0.03,0.679,-0.425,-0.626,-0.176,-1.194,-0.005,0.635,-0.363,-0.55,-0.214,-1.063,0.023,0.587,-0.488,1381.2,3,2,1,3,0,3,8,0.727,1,11,0.071,3.1,4.282,50.0,69.06
68,-0.569,-0.159,-0.984,-0.041,0.64,-0.313,-0.626,-0.176,-1.194,-0.005,0.635,-0.363,-0.391,-0.11,-0.746,-0.003,0.397,-0.227,1637.6,5,2,2,5,0,5,8,0.615,1,13,-0.109,12.5,20.47,10.0,10.0
69,-0.582,-0.189,-1.015,-0.029,0.667,-0.398,-0.66,-0.256,-1.275,0.028,0.705,-0.585,-0.391,-0.11,-0.746,-0.003,0.397,-0.227,1622.6,4,1,2,4,0,4,9,0.692,1,13,0.016,25.0,40.565,10.0,10.0
70,-0.763,0.193,-1.183,0.114,0.285,-0.816,-0.9,0.37,-1.067,0.173,0.052,-1.054,-0.532,0.108,-1.024,0.055,0.393,-0.439,1256.9,2,0,2,2,0,5,6,0.545,0,11,-0.002,3.182,4.0,31.824,40.0
71,-0.722,0.041,-0.256,0.06,0.632,-0.447,-0.699,-0.044,-0.229,0.111,0.701,-0.523,-0.62,-0.203,-0.131,0.022,0.615,-0.336,1348.9,2,2,0,2,0,4,7,0.636,2,11,-0.205,7.0,9.442,60.0,80.934
72,-0.672,0.21,-0.178,0.009,0.406,-0.517,-0.792,-0.28,-0.172,0.161,0.602,-0.742,-0.321,-0.013,-0.079,-0.043,0.351,-0.185,1862.3,-1,1,-1,2,3,7,7,0.5,3,14,-0.317,130.0,242.099,130.0,242.099
74,-0.853,-0.128,-1.037,0.147,0.284,-0.958,-0.831,0.145,-1.059,0.113,0.155,-0.892,-0.417,-0.107,-0.576,0.045,0.249,-0.337,1480.3,3,1,2,3,0,4,10,0.714,0,14,0.046,5.0,7.402,20.0,29.606
75,-0.865,-0.109,-0.998,0.154,0.266,-0.95,-0.831,0.145,-1.059,0.113,0.155,-0.892,-0.469,-0.12,-0.648,0.05,0.28,-0.379,1367.1,3,1,2,3,0,4,9,0.692,0,13,-0.007,5.0,6.836,20.0,27.342
76,-0.852,-0.216,-0.749,0.142,0.414,-0.942,-0.707,-0.482,-0.541,0.03,0.776,-0.862,-0.601,0.018,-0.589,0.141,0.1,-0.705,1384.2,1,0,0,1,0,2,11,0.846,1,13,0.278,1.2,1.661,2.5,3.46
77,-0.881,-0.194,-0.638,0.157,0.349,-0.966,-0.707,-0.482,-0.541,0.03,0.776,-0.862,-0.773,0.091,-0.717,0.161,0.075,-0.755,1157.8,1,0,1,1,0,2,9,0.818,1,11,0.232,2.5,2.894,5.0,5.789
79,-0.737,-0.206,-0.425,0.146,0.524,-0.671,-0.776,0.065,-0.731,0.113,0.426,-0.617,-0.537,-0.237,-0.326,0.126,0.434,-0.468,1343.9,1,0,1,1,0,5,6,0.545,2,11,0.028,30.0,40.317,40.0,53.756
80,-0.818,-0.269,-0.457,0.189,0.534,-0.942,-0.797,-0.17,-0.619,0.201,0.5,-0.803,-0.589,-0.119,-0.256,0.131,0.338,-0.676,1369.1,2,1,1,2,0,4,8,0.667,1,12,0.094,40.0,54.764,50.0,68.455
81,-0.762,-0.352,-0.496,0.176,0.416,-0.851,-0.752,-0.152,-0.648,0.215,0.27,-0.737,-0.525,-0.274,-0.303,0.1,0.3,-0.567,1411.1,1,1,0,1,0,5,7,0.583,2,12,0.08,30.0,42.333,40.0,56.444
82,-0.813,-0.378,-0.6,0.214,0.463,-0.97,-0.752,-0.152,-0.648,0.215,0.27,-0.737,-0.746,-0.504,-0.303,0.204,0.538,-0.986,1247.9,1,1,0,1,0,4,7,0.636,1,11,0.085,50.0,62.395,60.0,74.874
83,-0.914,-0.171,-0.995,0.194,0.267,-1.055,-0.929,-0.045,-1.109,0.196,0.135,-1.23,-0.589,-0.174,-0.718,0.098,0.322,-0.559,1211.0,1,0,1,1,0,2,10,0.833,0,12,0.276,12.5,15.138,25.0,30.275
85,-0.765,0.061,-0.841,0.066,0.238,-0.762,-0.572,0.085,-0.517,-0.075,0.278,-0.354,-0.44,0.091,-0.589,0.052,0.145,-0.431,1655.4,1,1,1,3,2,6,8,0.571,1,14,-0.108,15.0,24.831,8.0,13.243
86,-0.889,-0.029,-1.047,0.172,0.223,-1.024,-0.929,-0.045,-1.109,0.196,0.135,-1.23,-0.545,0.069,-0.807,0.06,0.246,-0.506,1241.0,1,0,1,1,0,3,9,0.75,0,12,0.241,15.0,18.615,250.0,310.25
87,-0.896,0.153,-0.84,0.172,0.132,-0.85,-0.939,0.349,-0.982,0.197,0.096,-0.95,-0.196,0.169,-0.253,0.026,-0.01,-0.148,2652.2,4,0,1,4,0,11,14,0.56,1,25,-0.03,18.852,50.0,0.754,2.0
88,-0.941,-0.028,-0.73,0.208,0.116,-0.955,-0.903,-0.078,-0.509,0.129,0.271,-0.93,-0.185,-0.065,-0.084,0.053,0.062,-0.186,3189.8,3,-1,1,6,3,13,18,0.581,1,31,-0.077,18.81,60.0,10.0,10.0
89,-0.914,0.039,-0.56,0.179,0.162,-0.946,-0.905,-0.087,-0.545,0.128,0.219,-0.983,-0.196,-0.076,0.051,0.064,0.072,-0.258,3417.9,3,-1,0,5,2,14,18,0.562,2,32,-0.029,17.555,60.0,10.0,10.0
90,-0.833,-0.099,-0.643,0.146,0.347,-0.893,-0.651,-0.436,-0.077,-0.041,0.883,-0.622,-0.214,0.044,-0.269,0.037,0.029,-0.172,2654.0,4,0,2,4,0,9,15,0.625,3,24,0.044,20.723,55.0,10.0,10.0
91,-0.877,-0.018,-0.659,0.143,0.272,-0.889,-0.873,0.02,-0.699,0.128,0.177,-1.092,-0.482,-0.129,-0.361,0.04,0.316,-0.372,1398.1,1,0,1,1,0,3,10,0.769,2,13,0.234,71.526,100.0,10.0,10.0
92,-0.876,-0.014,-0.646,0.144,0.292,-0.869,-0.871,0.029,-0.663,0.129,0.229,-1.039,-0.482,-0.129,-0.361,0.04,0.316,-0.372,1398.1,1,0,1,1,0,3,10,0.769,2,13,0.218,143.051,200.0,10.0,10.0
93,-0.86,-0.005,-0.523,0.114,0.251,-0.904,-0.873,0.02,-0.699,0.128,0.177,-1.092,-0.482,-0.129,-0.361,0.04,0.316,-0.372,1414.1,1,0,1,1,0,3,10,0.769,3,13,0.261,91.931,130.0,10.0,10.0
94,-0.761,0.018,-0.593,0.044,0.426,-0.769,-0.649,-0.427,-0.041,-0.04,0.934,-0.569,-0.449,0.039,-0.622,0.058,0.155,-0.461,1625.4,1,0,1,1,0,4,10,0.714,3,14,0.239,79.98,130.0,10.0,10.0
95,-0.781,-0.23,-0.518,0.079,0.555,-0.79,-0.668,-0.385,-0.388,-0.0,0.81,-0.535,-0.401,-0.234,-0.453,0.04,0.419,-0.401,1585.3,2,1,1,2,0,3,11,0.786,2,14,0.099,35.2,55.803,24.2,38.364
96,-0.914,-0.231,-0.661,0.212,0.393,-1.128,-0.749,-0.49,-0.459,0.054,0.815,-0.878,-0.627,0.053,-0.722,0.168,0.187,-0.76,1242.9,1,0,1,1,0,2,10,0.833,1,12,0.151,42.1,52.326,34.5,42.88
